Year,Month,Prefecture,Tourist (Japan)
2021,Nov,Tokyo,1709
2021,Dec,Tokyo,701
2022,Jan,Tokyo,649
2022,Feb,Tokyo,999
2022,Mar,Tokyo,3371
2022,Apr,Tokyo,6166
2022,May,Tokyo,7308
2022,Jun,Tokyo,12405
2022,Jul,Tokyo,30315
2022,Aug,Tokyo,31441
2022,Sep,Tokyo,42108
2022,Oct,Tokyo,326699
2022,Nov,Tokyo,773983
2022,Dec,Tokyo,1252391
2023,Jan,Tokyo,1308606
2023,Feb,Tokyo,1297458
2023,Mar,Tokyo,1582518
2023,Apr,Tokyo,1738172
2023,May,Tokyo,1656118
2023,Jun,Tokyo,1882296
2023,Jul,Tokyo,2108438
2023,Aug,Tokyo,1897129
2023,Sep,Tokyo,1905162
2023,Oct,Tokyo,2245892
2023,Nov,Tokyo,2206883
2023,Dec,Tokyo,2551290
2024,Jan,Tokyo,2386640
2024,Feb,Tokyo,2548085
2024,Mar,Tokyo,2771105
2024,Apr,Tokyo,2763384
2024,May,Tokyo,2758219
2024,Jun,Tokyo,2913631
2024,Jul,Tokyo,3055187
2024,Aug,Tokyo,2646445
2024,Sep,Tokyo,2544751
2024,Oct,Tokyo,3021710
2024,Nov,Tokyo,2922383
2024,Dec,Tokyo,3280013
2002,Jan,Osaka,193396
2002,Feb,Osaka,246832
2002,Mar,Osaka,241138
2002,Apr,Osaka,266858
2002,May,Osaka,257757
2002,Jun,Osaka,290136
2002,Jul,Osaka,338632
2002,Aug,Osaka,305793
2002,Sep,Osaka,206064
2002,Oct,Osaka,271771
2002,Nov,Osaka,227666
2002,Dec,Osaka,249283
2003,Jan,Osaka,256609
2003,Feb,Osaka,228905
2003,Mar,Osaka,241866
2003,Apr,Osaka,194739
2003,May,Osaka,151597
2003,Jun,Osaka,206149
2003,Jul,Osaka,340213
2003,Aug,Osaka,358013
2003,Sep,Osaka,253197
2003,Oct,Osaka,310992
2003,Nov,Osaka,247764
2003,Dec,Osaka,265296
2004,Jan,Osaka,343533
2004,Feb,Osaka,242463
2004,Mar,Osaka,281643
2004,Apr,Osaka,359573
